country,year,greenfinance
Nigeria,2010,2087
Nigeria,2011,2178
Nigeria,2012,2374
Nigeria,2013,2499
Nigeria,2014,2868
Nigeria,2015,2990
Nigeria,2016,3718
Nigeria,2017,4323
Nigeria,2018,4865
Nigeria,2019,5092
Nigeria,2020,6840
Nigeria,2021,7715
Nigeria,2022,7765
Ethiopia,2010,1632
Ethiopia,2011,1807
Ethiopia,2012,2169
Ethiopia,2013,2363
Ethiopia,2014,2542
Ethiopia,2015,2704
Ethiopia,2016,3108
Ethiopia,2017,3315
Ethiopia,2018,3937
Ethiopia,2019,4681
Ethiopia,2020,4946
Ethiopia,2021,5712
Ethiopia,2022,5712
